task_id,task_name,difficulty,tags,language,result,pass_cnt,Memory,Runtime
1,Two Sum,Easy,"Array, Hash Table",c,Accepted,1 / 1,77.19,52.73
1,Two Sum,Easy,"Array, Hash Table",cpp,Accepted,1 / 1,29.91,98.54
1,Two Sum,Easy,"Array, Hash Table",java,Accepted,1 / 1,36.11,97.73
1,Two Sum,Easy,"Array, Hash Table",python3,Accepted,1 / 1,60.01,56.62
2,Add Two Numbers,Medium,"Linked List, Math, Recursion",c,Accepted,1 / 1,39.79,34.07
2,Add Two Numbers,Medium,"Linked List, Math, Recursion",cpp,Accepted,1 / 1,24.08,15.06
2,Add Two Numbers,Medium,"Linked List, Math, Recursion",java,Accepted,1 / 1,17.37,100.0
2,Add Two Numbers,Medium,"Linked List, Math, Recursion",python3,Accepted,1 / 1,97.72,90.73
3,Longest Substring Without Repeating Characters,Medium,"Hash Table, String, Sliding Window",c,Accepted,1 / 1,34.02,59.68
3,Longest Substring Without Repeating Characters,Medium,"Hash Table, String, Sliding Window",cpp,Accepted,1 / 1,69.69,72.22
3,Longest Substring Without Repeating Characters,Medium,"Hash Table, String, Sliding Window",java,Accepted,1 / 1,24.05,86.61
3,Longest Substring Without Repeating Characters,Medium,"Hash Table, String, Sliding Window",python3,Accepted,1 / 1,90.2,59.16
4,Median of Two Sorted Arrays,Hard,"Array, Binary Search, Divide and Conquer",c,Accepted,1 / 1,75.19,24.71
4,Median of Two Sorted Arrays,Hard,"Array, Binary Search, Divide and Conquer",cpp,Accepted,1 / 1,90.16,79.52
4,Median of Two Sorted Arrays,Hard,"Array, Binary Search, Divide and Conquer",java,Accepted,1 / 1,57.06,100.0
4,Median of Two Sorted Arrays,Hard,"Array, Binary Search, Divide and Conquer",python3,Accepted,1 / 1,72.4,79.56
5,Longest Palindromic Substring,Medium,"Two Pointers, String, Dynamic Programming",c,Accepted,1 / 1,49.04,63.11
